ITNO,ITEM,ShadeName,ShadeNo,Code,Rate,Pckng,Ptype,Range
15116,Diamond Overall Synthetic Enamel 4001,new terracota,4063,q4063,452,0.91,Quarter,Diamond Overall Green
15113,Diamond Overall Synthetic Enamel 4001,polish brown,4064,q4064,452,0.91,Quarter,Diamond Overall Green
15114,Diamond Overall Synthetic Enamel 4001,slate gery,4085,q4085,452,0.91,Quarter,Diamond Overall Green
15115,Diamond Overall Synthetic Enamel 4001,soft violet,4066,q4066,452,0.91,Quarter,Diamond Overall Green
11102,Diamond Ace Matt Finish 1001,WHITE,1001,Q1001,701,0.91,Quarter,ACE RANGE
11103,Diamond Ace Matt Finish 1001,ROSE WHITE,1004,Q1004,701,0.91,Quarter,ACE RANGE
11104,Diamond Ace Matt Finish 1001,SPOONBREAD,1005,Q1005,701,0.91,Quarter,ACE RANGE
11105,Diamond Ace Matt Finish 1001,WINTAGE,1006,Q1006,701,0.91,Quarter,ACE RANGE
11106,Diamond Ace Matt Finish 1001,OFF-WHITE,1007,Q1007,701,0.91,Quarter,ACE RANGE
11107,Diamond Ace Matt Finish 1001,APPRICOT,1008,Q1008,701,0.91,Quarter,ACE RANGE
11108,Diamond Ace Matt Finish 1001,COCKELL SHELL,1010,Q1010,701,0.91,Quarter,ACE RANGE
11109,Diamond Ace Matt Finish 1001,LIGHT LIME,1012,Q1012,701,0.91,Quarter,ACE RANGE
11110,Diamond Ace Matt Finish 1001,ASH-WHITE,1013,Q1013,701,0.91,Quarter,ACE RANGE
11111,Diamond Ace Matt Finish 1001,HALO,1015,Q1015,701,0.91,Quarter,ACE RANGE
11112,Diamond Ace Matt Finish 1001,BLACK,1016,Q1016,701,0.91,Quarter,ACE RANGE
11113,Diamond Ace Matt Finish 1001,LAVENDER-WHITE,1017,Q1017,701,0.91,Quarter,ACE RANGE
11114,Diamond Ace Matt Finish 1001,YELLOW GLOVE,1019,Q1019,701,0.91,Quarter,ACE RANGE
11115,Diamond Ace Matt Finish 1001,SOFT PEACH,1022,Q1022,701,0.91,Quarter,ACE RANGE
11116,Diamond Ace Matt Finish 1001,MOON-SHADOW,1025,Q1025,701,0.91,Quarter,ACE RANGE
11117,Diamond Ace Matt Finish 1001,UTOPIA,1026,Q1026,701,0.91,Quarter,ACE RANGE
11118,Diamond Ace Matt Finish 1001,PUMPKIN,1029,Q1029,701,0.91,Quarter,ACE RANGE
11119,Diamond Ace Matt Finish 1001,ROSE LEMON,1030,Q1030,701,0.91,Quarter,ACE RANGE
11120,Diamond Ace Matt Finish 1001,REFLECTION,1031,Q1031,701,0.91,Quarter,ACE RANGE
11121,Diamond Ace Matt Finish 1001,PABBLE GREY,1032,Q1032,701,0.91,Quarter,ACE RANGE
11122,Diamond Ace Matt Finish 1001,PEACH WISHPER,1033,Q1033,701,0.91,Quarter,ACE RANGE
11123,Diamond Ace Matt Finish 1001,KITCHEN-WHITE,1035,Q1035,701,0.91,Quarter,ACE RANGE
11124,Diamond Ace Matt Finish 1001,TROSSE BLUE,1039,Q1039,701,0.91,Quarter,ACE RANGE
11125,Diamond Ace Matt Finish 1001,WHITE ICE,1044,Q1044,701,0.91,Quarter,ACE RANGE
11126,Diamond Ace Matt Finish 1001,FRESH LIME,1045,Q1045,701,0.91,Quarter,ACE RANGE
11127,Diamond Ace Matt Finish 1001,PEACH GODDESS,1048,Q1048,701,0.91,Quarter,ACE RANGE
11128,Diamond Ace Matt Finish 1001,BUFF,1049,Q1049,701,0.91,Quarter,ACE RANGE
11129,Diamond Ace Matt Finish 1001,MUSTERD,1050,Q1050,701,0.91,Quarter,ACE RANGE
11130,Diamond Ace Matt Finish 1001,HAWANA,1051,Q1051,701,0.91,Quarter,ACE RANGE
11131,Diamond Ace Matt Finish 1001,JADE,1053,Q1053,701,0.91,Quarter,ACE RANGE
11132,Diamond Ace Matt Finish 1001,COOL BLUE,1054,Q1054,701,0.91,Quarter,ACE RANGE
11133,Diamond Ace Matt Finish 1001,FIRST DAWN,1055,Q1055,701,0.91,Quarter,ACE RANGE
11134,Diamond Ace Matt Finish 1001,PROPHETIC PURPLE,1056,Q1056,701,0.91,Quarter,ACE RANGE
11135,Diamond Ace Matt Finish 1001,LIGHT PINK,1057,Q1057,701,0.91,Quarter,ACE RANGE
11136,Diamond Ace Matt Finish 1001,ANGEL,1058,Q1058,701,0.91,Quarter,ACE RANGE
11137,Diamond Ace Matt Finish 1001,CARNIVAL PINK,1059,Q1059,701,0.91,Quarter,ACE RANGE
11138,Diamond Ace Matt Finish 1001,YARN BEIGE,1061,Q1061,701,0.91,Quarter,ACE RANGE
11139,Diamond Ace Matt Finish 1001,CINNAMON,1062,Q1062,701,0.91,Quarter,ACE RANGE
11140,Diamond Ace Matt Finish 1001,KNOCKOUT RED,1064,Q1064,701,0.91,Quarter,ACE RANGE
11141,Diamond Ace Matt Finish 1001,BLUE STREET,1065,Q1065,701,0.91,Quarter,ACE RANGE
11142,Diamond Ace Matt Finish 1001,PUFF,1069,Q1069,701,0.91,Quarter,ACE RANGE
11143,Diamond Ace Matt Finish 1001,SHEESHAM,1070,Q1070,701,0.91,Quarter,ACE RANGE
11144,Diamond Ace Matt Finish 1001,LIME TWIST,1071,Q1071,701,0.91,Quarter,ACE RANGE
11145,Diamond Ace Matt Finish 1001,LIGHT GREEN,1072,Q1072,701,0.91,Quarter,ACE RANGE
11146,Diamond Ace Matt Finish 1001,CHILL RED,1073,Q1073,701,0.91,Quarter,ACE RANGE
11147,Diamond Ace Matt Finish 1001,OSEAN BLUE,1074,Q1074,701,0.91,Quarter,ACE RANGE
11148,Diamond Ace Matt Finish 1001,SHINGLE,1075,Q1075,701,0.91,Quarter,ACE RANGE
11149,Diamond Ace Matt Finish 1001,ZINIA SCARLET,1076,Q1076,701,0.91,Quarter,ACE RANGE
11150,Diamond Ace Matt Finish 1001,DAWN GLOW,1077,Q1077,701,0.91,Quarter,ACE RANGE
11151,Diamond Ace Matt Finish 1001,DESIRE,1078,Q1078,701,0.91,Quarter,ACE RANGE
11152,Diamond Ace Matt Finish 1001,PINK VELVET,1079,Q1079,701,0.91,Quarter,ACE RANGE
11153,Diamond Ace Matt Finish 1001,CRENBERRY,1080,Q1080,701,0.91,Quarter,ACE RANGE
11154,Diamond Ace Matt Finish 1001,SOFT-PINK,1002,Q1002,701,0.91,Quarter,ACE RANGE
11155,Diamond Ace Matt Finish 1001,SHERBAT,1014,Q1014,701,0.91,Quarter,ACE RANGE
11156,Diamond Ace Matt Finish 1001,REFLECTION,1043,Q1043,701,0.91,Quarter,ACE RANGE
11157,Diamond Ace Matt Finish 1001,SKY-BLUE,1021,Q1021,701,0.91,Quarter,ACE RANGE
11158,Diamond Ace Matt Finish 1001,SNOW-MOUNTAIN,1003,Q1003,701,0.91,Quarter,ACE RANGE
11159,Diamond Ace Matt Finish 1001,SAGE-GREEN,1020,Q1020,701,0.91,Quarter,ACE RANGE
11160,Diamond Ace Matt Finish 1001,CHANDNI,1034,Q1034,701,0.91,Quarter,ACE RANGE
11161,Diamond Ace Matt Finish 1001,TROPICAL LIME,1040,Q1040,701,0.91,Quarter,ACE RANGE
11162,Diamond Ace Matt Finish 1001,ANTIQUE WHITE,1041,Q1041,701,0.91,Quarter,ACE RANGE
11163,Diamond Ace Matt Finish 1001,PINE-APPLE-TWIST,1028,Q1028,701,0.91,Quarter,ACE RANGE
11164,Diamond Ace Matt Finish 1001,ROSE LEMON,1018,Q1018,701,0.91,Quarter,ACE RANGE
11165,Diamond Ace Matt Finish 1001,ASH GREY,1066,Q1066,701,0.91,Quarter,ACE RANGE
11166,Diamond Ace Matt Finish 1001,ROSE-WHITE,1011,Q1011,701,0.91,Quarter,ACE RANGE
11167,Diamond Ace Matt Finish 1001,SHINGLE,1023,Q1023,701,0.91,Quarter,ACE RANGE
11168,Diamond Ace Matt Finish 1001,PEACH,1047,Q1047,701,0.91,Quarter,ACE RANGE
11169,Diamond Ace Matt Finish 1001,PASSION,1063,Q1063,701,0.91,Quarter,ACE RANGE
11170,Diamond Ace Matt Finish 1001,ORCHID SHADOE,1038,Q1038,701,0.91,Quarter,ACE RANGE
11171,Diamond Ace Matt Finish 1001,LILAC BLISSS,1036,Q1036,701,0.91,Quarter,ACE RANGE
11172,Diamond Ace Matt Finish 1001,NAVI BLUE,1024,Q1024,701,0.91,Quarter,ACE RANGE
11173,Diamond Ace Matt Finish 1001,WILD-HEATHER,1027,Q1027,701,0.91,Quarter,ACE RANGE
11174,Diamond Ace Matt Finish 1001,FULL WINE,1060,Q1060,701,0.91,Quarter,ACE RANGE
